title,country,location,date,url,skills,sectors
Assistant Account Manager (H/F),Maroc,Casablanca,27/09/2021,/offre-emploi-assistant-account-manager-hf-recrutement-deloitte-nearshore-casablanca-129399.html,"['KS123K75YYK8VGH90NCS', 'KS1267F6MSPN366LX7ST', 'ES76F4C57A88877D6D64', 'KS124WN5VL9T4800GL4D', 'KS1283Z5XFZ85WT42H7L', 'KS1212B6QR5SK1LSD4S4', 'KS127D361PF0FTXDZ7C4', 'ESA07D21A5578570F177', 'KS1240C6RMQBM9THBZVP', 'KS120626HMWCXJWJC7VK']",Conseil / Etudes
Ingénieur Développement Senior C# / .NET / MVC5,Maroc,Marrakech,27/09/2021,/offre-emploi-ingenieur-developpement-senior-c-.net-mvc5-recrutement-teamdev-marrakech-127709.html,"['KS4425C6ZM53B0RZCD8Y', 'KS1243976G466GV63ZBY', 'KS120L96KMYTDJ48NRSH']",Informatique
Chargé(e) de recrutement BPO,Maroc,CASABLANCA,27/09/2021,/offre-emploi-chargee-de-recrutement-bpo-recrutement-groupe-adaming-casablanca-128679.html,"['KS1243976G466GV63ZBY', 'KS125WZ6TWYDMFKJ841S']",Informatique
Bilingual Talent acquisition specialist,Maroc,casablanca,27/09/2021,/offre-emploi-bilingual-talent-acquisition-specialist-recrutement-sitel-group-casablanca-129395.html,"['KS123K75YYK8VGH90NCS', 'KS1265660DX5R55XBXDD', 'KS440PV6FRJ90X0QFNLY', 'KS4425C7820LCHZS7VGX', 'KS1243976G466GV63ZBY', 'KS122556LMQ829GZCCRV', 'KS441S06L3NZBK0D6JM8', 'KS127NZ5X6TGTX8P6G57', 'KS125PC6JNQW658X4N1G']",Recrutement / Intérim
Financial Planning and Analysis Manager Morocco,Maroc,Casablanca,27/09/2021,/offre-emploi-financial-planning-and-analysis-manager-morocco-recrutement-sitel-group-casablanca-129393.html,"['KS441846Q382NVKJSSC7', 'KS123Y170JP7JBSFVBSS', 'KS122556LMQ829GZCCRV', 'KS6Z9S3SF7JXINEPS6PG', 'KS124JB619VXG6RQ810C', 'KS1219261TYVPMGX8KVQ', 'KS120GV5ZXR64CJLL1J4', 'KS123MC78KV644P5DDZ0', 'KS1280B68GD79P4WMVYW', 'KS123K75YYK8VGH90NCS', 'ESC82E44263D74014E5F', 'KS123YH6B5Z6Q799424R', 'KS121986JDX6YR2BYKLG', 'KS1243976G466GV63ZBY', 'KS127D361PF0FTXDZ7C4', 'KS1219462WRQNHNTPZ7G', 'KS1245C6NQ5MJN37VHZF', 'KS7G747655VG23WXMS9B', 'ESEB1D4619E6E83A061D', 'KS120HK5XY6JV257QLTX']",Centre d'appel
Ingénieur Système Linux,Maroc,CASABLANCA,27/09/2021,/offre-emploi-ingenieur-systeme-linux-recrutement-annour-technologies-casablanca-129392.html,[],Informatique
Ingénieur Réseaux & Télécoms,Maroc,CASABLANCA,27/09/2021,/offre-emploi-ingenieur-reseaux-telecoms-recrutement-annour-technologies-casablanca-129391.html,"['KS4418P67WQQGGD3YBY5', 'KS125TR5XQ9RK29QQM5K', 'KS125LH61L43JVJPD0WB', 'KS120GV5ZXR64CJLL1J4', 'KS1287M692W39DYZN8ZZ']",Informatique
Responsable Achats Combustibles - El Jadida,Maroc,El Jadida,27/09/2021,/offre-emploi-responsable-achats-combustibles---el-jadida-recrutement-orh-assessment-el-jadida-129390.html,"['KS123K75YYK8VGH90NCS', 'KS1287R64YNBZGR50Y1N', 'KS124216XT0CJXQQND1F', 'KS122556LMQ829GZCCRV', 'KSKJX44T33B6D4UCC8CB', 'ES6299076B69B3EA41C2', 'KS126X663B21NB77ZHSP', 'KS120626HMWCXJWJC7VK']",Autres Industries
Chargé(e) de Projet MOA Anglophone,Maroc,Casablanca,27/09/2021,/offre-emploi-chargee-de-projet-moa-anglophone-recrutement-saccom-rh-casablanca-129389.html,"['KS123K75YYK8VGH90NCS', 'KS1228S6XKXWJ8SR7JYX', 'KS1267F6MSPN366LX7ST', 'KS1226Y6DNDT05G7FJ4J', 'KS4425C7820LCHZS7VGX', 'KS1243976G466GV63ZBY', 'KS122556LMQ829GZCCRV', 'ESEB1D4619E6E83A061D', 'KSKJX44T33B6D4UCC8CB', 'KS122YN6108R0RSDXXRC', 'KS120GV5ZXR64CJLL1J4', 'KS7G2F36GFX1K55V6GK4']",Informatique
Superviseur Télévente FAI H/F,Maroc,Casablanca,27/09/2021,/offre-emploi-superviseur-televente-fai-hf-recrutement-umanis-casablanca-129387.html,['KS1243976G466GV63ZBY'],Centre d'appel
Télévendeurs/Télévendeuses en émission d’appels pour un FAI WEEK-END OFF,Maroc,Casablanca,27/09/2021,/offre-emploi-televendeurstelevendeuses-en-emission-dappels-pour-un-fai-week-end-off-recrutement-umanis-casablanca-129386.html,"['KS122FX6SN0JZZ13B0FB', 'KS1243976G466GV63ZBY', 'KS120626HMWCXJWJC7VK', 'KS4425C7820LCHZS7VGX']",Centre d'appel
télévendeurs/télévendeuses en émission d’appels pour un Fournisseur d’Energie Gaz et Electricté WEEK-END OFF,Maroc,Casablanca,27/09/2021,/offre-emploi-televendeurstelevendeuses-en-emission-dappels-pour-un-fournisseur-denergie-gaz-et-electricte-week-end-off-recrutement-umanis-casablanca-129384.html,"['KS122FX6SN0JZZ13B0FB', 'KS1243976G466GV63ZBY', 'KS120626HMWCXJWJC7VK', 'KS4425C7820LCHZS7VGX']",Centre d'appel
Conseiller en Assurance francophone en Réception d'appels,Maroc,Casablanca,27/09/2021,/offre-emploi-conseiller-en-assurance-francophone-en-reception-dappels-recrutement-majorel-casablanca-129383.html,"['KS4425C7820LCHZS7VGX', 'KS1243976G466GV63ZBY', 'KS122556LMQ829GZCCRV', 'KS1208C6D8DGHVYQTSLR', 'KSMNXY6MPS1EDWJ8P6B0']",Centre d'appel
Conseiller Clientèle Parfaitement Francophone en réception d'appel,Maroc,Casablanca,27/09/2021,/offre-emploi-conseiller-clientele-parfaitement-francophone-en-reception-dappel-recrutement-majorel-casablanca-129382.html,"['KSMNXY6MPS1EDWJ8P6B0', 'KS1243976G466GV63ZBY', 'KS122556LMQ829GZCCRV', 'KS4425C7820LCHZS7VGX']",Centre d'appel
Conseiller Clientèle en Assistance technique parfaitement Francophone - Réception d'appels,Maroc,Casablanca,27/09/2021,/offre-emploi-conseiller-clientele-en-assistance-technique-parfaitement-francophone---reception-dappels-recrutement-majorel-casablanca-129381.html,"['KSMNXY6MPS1EDWJ8P6B0', 'KS1243976G466GV63ZBY', 'KS122556LMQ829GZCCRV', 'KS4425C7820LCHZS7VGX']",Centre d'appel
Conseiller clientèle Francophone en réception d'appels - Secteur Automobile,Maroc,Casablanca,27/09/2021,/offre-emploi-conseiller-clientele-francophone-en-reception-dappels---secteur-automobile-recrutement-majorel-casablanca-129380.html,"['KSMNXY6MPS1EDWJ8P6B0', 'KS1243976G466GV63ZBY', 'KS122556LMQ829GZCCRV', 'KS4425C7820LCHZS7VGX']",Centre d'appel
Conseiller Clientèle Parfaitement Bilingue Français & Anglais en réception d'appel,Maroc,Casablanca,27/09/2021,/offre-emploi-conseiller-clientele-parfaitement-bilingue-francais-anglais-en-reception-dappel-recrutement-majorel-casablanca-129379.html,"['KS123K75YYK8VGH90NCS', 'KS4425C7820LCHZS7VGX', 'KS1243976G466GV63ZBY', 'KS122556LMQ829GZCCRV', 'KSMNXY6MPS1EDWJ8P6B0']",Centre d'appel
Chef de projet SI Senior,Maroc,Casablanca,27/09/2021,/offre-emploi-chef-de-projet-si-senior-recrutement-attijariwafa-bank-casablanca-129378.html,"['ES15AEA4E1FF0B552CE3', 'KS125F678LV2KB3Z5XW0', 'KS120WT63K4HC6NX7QXV', 'KS1282R607CFYF1FWJ74']",Banque / Finance
