preferred_label,cluster_status,label_cluster_0,label_cluster_1,label_cluster_2,skill_id
assess visual impact of displays,assigned,Sales & Communication,Communication,Multimedia & Product Design,123
select glassware for serving,,,,,124
cardiovascular system,,,,,125
biosecurity related to animals,,,,,126
check information on prescriptions,,,,,127
assume responsibility for maintaining a safe ship environment,,,,,128
follow hygienic practices in fishery operations,,,,,129
supervise work on design planning,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,130
measure trees,,,,,131
bend staves,,,,,132
select music for performance,,,,,133
geological mapping,,,,,134
tend electron beam welding machine,,,,,135
inspect table settings,,,,,136
drive automatic car,manually_reassigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Automotive Maintenance & Waste Management,137
prepare intravenous packs,,,,,138
configure electronic equipment,,,,,139
Erlang,clustered,Information & Communication Technologies,Information & Communication Technologies,Web & Software Development,140
operate specialised equipment in emergency,,,,,141
plan retail space,assigned,Sales & Communication,"Procurement, Logistics & Trade",Transport & Logistics,142
write leaflets,,,,,143
use jewellery equipment,,,,,144
taste wines,,,,,145
manufacturing of taps and valves,,,,,146
check sensorial parameters of oils and fats,,,,,147
maintain coquille parts,,,,,148
understand spoken Hungarian,,,,,149
schedule maintenance of airport electrical systems,,,,,150
provide pre-hospital emergency care of trauma,,,,,151
history of tobacco,,,,,152
carry out event management,assigned,Sales & Communication,Communication,Public Relations,153
understand spoken Welsh,clustered,Transversal skills,Languages,Languages,154
manage ICT data classification,,,,,155
keep sheet records,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,156
work in an economically efficient manner,,,,,157
brush rubber cement,,,,,158
develop leather goods collection,,,,,159
create solutions to problems,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,160
analyse cultural trends,assigned,Sales & Communication,Communication,Marketing,161
assess cage water quality,,,,,162
understand the architecture of a live performance,,,,,163
apply electrolytes to cathodes and anodes,,,,,164
hair cutting techniques,manually_reassigned,"Food, Cleaning & Hospitality","Food, Cleaning & Hospitality","Food, Hospitality & Beauty Services",165
manage claim files,assigned,"Business Administration, Finance & Law",Finance & Law,Financial Services,166
rescue animals,,,,,167
guide ships into docks,,,,,168
criminology,clustered,Education,Education,Learning Support,169
information structure,clustered,Information & Communication Technologies,Information & Communication Technologies,Data Analytics,170
test materials,reassigned,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,171
update message displays,,,,,172
operate a forecourt site,,,,,173
unload cargo,,,,,174
photogrammetry,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,175
interact with programmer on intention of consultancy work,,,,,176
communicate house rules,,,,,177
control train departures,,,,,178
manipulate dental material,,,,,179
forensic pathology,,,,,180
techniques of blood-sampling,,,,,181
hygiene in a health care setting,,,,,182
design beer recipes,,,,,183
finish plastic products,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,184
keep up with digital transformation of industrial processes,manually_reassigned,"Business Administration, Finance & Law",Business Administration,Business & Project Management,185
plan team building,assigned,"Business Administration, Finance & Law",Business Administration,Business & Project Management,186
give advice to others,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,187
perform manual spiral binding,,,,,188
place orders for orthopedic products,,,,,189
interact verbally in Bosnian,,,,,190
emboss designs,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,191
monitor flour unloading equipment,,,,,192
maintain statutory books,manually_reassigned,"Business Administration, Finance & Law",Finance & Law,Law,193
wash the laundry,manually_reassigned,"Food, Cleaning & Hospitality","Food, Cleaning & Hospitality",Cleaning Services,194
organise homecare for patients,assigned,"Healthcare, Social Work & Research",Care & Social Work,Care & Social Work,195
load cargo,clustered,Sales & Communication,"Procurement, Logistics & Trade",International Trade,196
deliver case notes,assigned,"Healthcare, Social Work & Research",Care & Social Work,Care & Social Work,197
check quality of enamel,,,,,198
monasticism,,,,,199
understand written Latvian,,,,,200
trim excess materials,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,201
respond to changing situations in health care,,,,,202
write Finnish,,,,,203
tend drying equipment,,,,,204
manage freight payment methods,,,,,205
keep food laboratory inventory,,,,,206
tramway regulations,,,,,207
rehabilitate worn dentition,,,,,208
coordinate flight schedules,,,,,209
understand spoken Punjabi,,,,,210
embargo regulations,assigned,Sales & Communication,Communication,Public Relations,211
set up office equipment,,,,,212
advise on bankruptcy proceedings,,,,,213
sell processed timber in a commercial environment,manually_reassigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Construction,214
provide technical documentation,assigned,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,215
slaughter animals,assigned,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,216
develop policies for nutritional programs,,,,,217
perform live,manually_reassigned,Education,Education,Extracurricular & Sports Activities,218
teach nursing principles,,,,,219
take advantage of learning opportunities in veterinary science,assigned,"Business Administration, Finance & Law",Finance & Law,Financial Services,220
support harmed social service users,,,,,221
SAS language,,,,,222
use an application-specific interface,,,,,223
design electrical systems,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Electrical Engineering,224
weld in hyperbaric conditions,,,,,225
weigh shipments,,,,,226
operate concrete casting machine,,,,,227
promote fitness customer referral,assigned,Sales & Communication,Communication,Marketing,228
audit contractors,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,229
fish grading,,,,,230
carry out inventory planning,assigned,Sales & Communication,"Procurement, Logistics & Trade",Procurement,231
compose energy performance contracts,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Electrical, Heating & Ventilation Installation",232
pass on trade techniques,,,,,233
treat animals ethically,,,,,234
define firewall rules,,,,,235
continuous improvement philosophies,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,236
otorhinolaryngologic conditions,,,,,237
prepare livestock for artificial insemination,,,,,238
operate production drilling machine,,,,,239
carry out quality control in microbiology laboratories,assigned,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,240
operate warehouse record systems,assigned,Sales & Communication,"Procurement, Logistics & Trade",Transport & Logistics,241
examine geochemical samples,assigned,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,242
perform upholstery restoration of classic cars,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Automotive Maintenance & Waste Management,243
supervise medical office support workers,,,,,244
follow detailed procedures for relocating specific goods,,,,,245
cut tobacco leaves,,,,,246
materials in porcelain manufacturing,assigned,"Healthcare, Social Work & Research",Healthcare,Physiotherapy,247
